ID,startval,alpha,N,Delta,time
30961,2,1.00E-06,512,16,3.05305194854736
30962,2,1.00E-06,512,8,1.21312141418457
30963,2,1.00E-06,512,64,0.894396305084229
30964,2,1.00E-06,512,32,2.1302592754364
30965,2,1.00E-06,512,16,0.862488746643066
30966,2,1.00E-06,512,8,0.174063920974731
30967,2,1.00E-06,512,4,0.197179794311523
30968,2,1.00E-06,512,2,0.05457067489624
30969,2,1.00E-06,512,64,2.33889055252075
30970,2,1.00E-07,256,1,0.08049464225769
30971,2,1.00E-06,512,32,0.472385168075561
30972,2,1.00E-06,512,16,0.804343223571777
30973,2,1.00E-06,512,8,0.881093502044678
30974,2,1.00E-06,512,4,0.358940839767456
30975,2,1.00E-06,512,2,0.100974798202515
30976,2,1.00E-06,512,1,1.58996558189392
30977,2,1.00E-06,512,64,2.29207372665405
30978,2,1.00E-06,512,32,1.29629635810852
30979,2,1.00E-06,512,16,4.61529231071472
30980,2,1.00E-06,512,8,1.22487020492554
30981,2,1.00E-07,256,32,0.01679801940918
30982,2,1.00E-06,512,4,0.362286329269409
30983,2,1.00E-06,512,2,0.220807552337646
30984,2,1.00E-06,512,64,1.68075799942017
30985,2,1.00E-06,512,32,0.696558713912964
30986,2,1.00E-06,512,16,2.40013718605041
30987,2,1.00E-06,512,8,0.467294216156006
30988,2,1.00E-06,512,4,0.343732833862305
30989,2,1.00E-06,512,2,0.093538045883179
30990,2,1.00E-06,512,64,0.194280862808227
30991,2,1.00E-06,512,32,1.98928642272949
30992,2,1.00E-07,256,32,0.017854690551758
30993,2,1.00E-06,512,16,1.78396701812744
