Inst,alpha,N,Delta,time
newinstances/instance0_11901.npz,1,1024,32,0.6375248432159424
newinstances/instance0_11902.npz,1,1024,16,0.22989726066589355
newinstances/instance0_11903.npz,1,1024,8,0.1882176399230957
newinstances/instance0_11904.npz,1,1024,128,0.6519851684570312
newinstances/instance0_11905.npz,1,1024,64,1.385967493057251
newinstances/instance0_11906.npz,1,1024,32,1.044511079788208
newinstances/instance0_11907.npz,1,1024,16,0.438018798828125
newinstances/instance0_11908.npz,1,1024,8,0.346454381942749
newinstances/instance0_11909.npz,1,1024,128,0.30829596519470215
newinstances/instance0_11910.npz,1,1024,64,1.1779553890228271
newinstances/instance0_11911.npz,1,1024,32,0.5342404842376709
newinstances/instance0_11912.npz,1,1024,16,0.393770694732666
newinstances/instance0_11913.npz,1,1024,128,0.972541332244873
newinstances/instance0_11914.npz,1,1024,64,1.1160342693328857
newinstances/instance0_11915.npz,1,1024,32,1.0787010192871094
newinstances/instance0_11916.npz,1,1024,16,0.618168830871582
newinstances/instance0_11917.npz,1,1024,8,0.40916943550109863
newinstances/instance0_11918.npz,1,1024,128,0.35281920433044434
newinstances/instance0_11919.npz,1,1024,64,1.4242124557495117
newinstances/instance0_11920.npz,1,1024,32,0.6811985969543457
newinstances/instance0_11921.npz,1,1024,16,0.38235950469970703
newinstances/instance0_11922.npz,1,1024,8,0.27826619148254395
newinstances/instance0_11923.npz,1,1024,128,0.5970532894134521
newinstances/instance0_11924.npz,1,1024,64,0.568932294845581
newinstances/instance0_11925.npz,1,1024,32,0.6606829166412354
newinstances/instance0_11926.npz,1,1024,16,0.36673974990844727
newinstances/instance0_11927.npz,1,1024,8,0.3612537384033203
newinstances/instance0_11928.npz,1,1024,4,0.24989819526672363
newinstances/instance0_11929.npz,1,1024,128,0.30984044075012207
newinstances/instance0_11930.npz,1,1024,64,1.941896677017212
newinstances/instance0_11931.npz,1,1024,32,0.5646665096282959
newinstances/instance0_11932.npz,1,1024,16,0.26451683044433594
newinstances/instance0_11933.npz,1,1024,8,0.17592668533325195
newinstances/instance0_11934.npz,1,1024,128,0.967942476272583
newinstances/instance0_11935.npz,1,1024,64,7.662549018859863
newinstances/instance0_11936.npz,1,1024,32,0.6035070419311523
newinstances/instance0_11937.npz,1,1024,16,0.5086491107940674
newinstances/instance0_11938.npz,1,1024,8,0.27649497985839844
newinstances/instance0_11939.npz,1,1024,128,0.9477560520172119
newinstances/instance0_11940.npz,1,1024,64,1.6790316104888916
newinstances/instance0_11941.npz,1,1024,32,0.8191826343536377
newinstances/instance0_11942.npz,1,1024,16,0.43755125999450684
newinstances/instance0_11943.npz,1,1024,8,0.27372145652770996
newinstances/instance0_11944.npz,1,1024,4,0.22231602668762207
newinstances/instance0_11945.npz,1,1024,128,0.29485607147216797
newinstances/instance0_11946.npz,1,1024,64,7.240524768829346
newinstances/instance0_11947.npz,1,1024,32,0.6285288333892822
newinstances/instance0_11948.npz,1,1024,16,0.21105599403381348
newinstances/instance0_11949.npz,1,1024,8,0.24291753768920898
